duration,date,subjectcode,Abaser,Abassi,Abater,Abatis,Abator,Abbacy,Abbess,Abdest,Abider,Abject,Ablaut,Abraum,Abseil,Acacia,Acacin,Acajou,Acanth,Acarus,Acater,Acates,Accent,Access,Accost,Accrue,Accuse,Acetal,Acetin,Achate,Achean,Achene,b,c,d,e,f,g,h,i,j,k,l,m,comments,RandA,RandAA,RandB,RandBB,RandC,RandCC,RandD,RandDD
249,10/11/19 8:05,R_21dpDklUTRrsP6E,0,2,20,0,0,0,2,0,7,20,0,0,0,2,0,8,20,0,0,0,2,0,13,20,0,0,0,2,0,19,20,0,0,0,2,0,0,20,0,0,0,2,No,2,17,7,12,8,11,13,6
327,10/11/19 8:06,R_RDlZ26um59JZ1dL,0,0,19,0,0,0,2,0,7,19,0,0,0,2,0,6,19,0,0,0,2,0,0,19,0,0,0,2,0,0,20,0,0,0,2,0,0,19,0,0,0,2,no,2,17,7,12,8,11,13,6
341,10/11/19 8:06,R_sbBeHKMk0Zu1iwx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,7,12,8,11,13,6
332,10/11/19 8:06,R_3dZaTtDTlTz9Y9M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing.,2,17,7,12,8,11,13,6
345,10/11/19 8:07,R_3HS55cauxmrdtWw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
305,10/11/19 8:07,R_2Pn9ZKGiiwbyDKS,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,0,0,3,0,0,20,0,1,0,3,no,2,17,7,12,8,11,13,6
360,10/11/19 8:07,R_brQ5Mmg1bjJauHv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
399,10/11/19 8:07,R_1LtXmbMoZXBNi5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,17,7,12,8,11,13,6
353,10/11/19 8:07,R_UJU0BymzoLzyppL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
316,10/11/19 8:07,R_2w6KE1rYtZbdTeE,0,2,20,2,1,0,3,0,7,20,7,1,0,3,0,8,20,8,1,0,3,0,13,20,13,0,0,2,0,19,20,19,0,0,2,0,0,20,0,1,0,3,N/A,2,17,7,12,8,11,13,6
429,10/11/19 8:08,R_pzRETjnh8tn0Uhj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
368,10/11/19 8:08,R_2uDjfYslN5WSC2Q,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,No,2,17,7,12,8,11,13,6
448,10/11/19 8:08,R_2YhSReu9nU7VtDu,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,Just seemed repetitive ,2,17,7,12,8,11,13,6
446,10/11/19 8:08,R_eXoRFfxIo6UnmkF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,2,17,7,12,8,11,13,6
284,10/11/19 8:08,R_3iWJJIAdF9qJSWM,1,2,20,0,1,0,3,1,7,20,0,1,0,3,1,8,20,0,1,0,3,1,13,20,0,1,0,3,1,19,20,0,1,0,3,1,0,20,0,1,0,3,no,2,17,7,12,8,11,13,6
435,10/11/19 8:08,R_3iwn4UST4G9XxxE,1,2,20,0,1,0,3,1,7,20,0,1,0,3,19,8,20,0,1,0,3,1,13,20,0,1,0,3,1,19,20,0,1,0,3,1,19,20,0,1,0,3,nothing,2,17,7,12,8,11,13,6
392,10/11/19 8:08,R_1GCU92k4WMJWrSm,0,2,20,0,0,0,3,0,7,20,0,0,0,3,0,8,20,0,0,0,3,0,13,20,0,0,0,3,0,19,20,0,0,0,3,0,0,20,0,0,0,3,nothing,2,17,7,12,8,11,13,6
397,10/11/19 8:09,R_2xAlL9jWc1IVv4k,0,2,20,0,0,0,3,0,7,20,0,0,0,3,0,8,20,0,0,0,3,0,13,20,0,0,0,3,0,19,20,0,0,0,3,0,0,20,0,0,0,3,Everything was clear and presented well.,2,17,7,12,8,11,13,6
405,10/11/19 8:09,R_07csscR1MnMV26d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,17,7,12,8,11,13,6
459,10/11/19 8:09,R_2ZKMTbmGAsZDsOU,0,2,20,0,0,0,2,0,7,20,0,0,0,2,0,8,20,0,0,0,2,0,13,20,0,0,0,2,0,19,20,0,0,0,2,0,0,20,0,1,0,2,NO,2,17,7,12,8,11,13,6
483,10/11/19 8:09,R_2e9bFvVelDj2Sxi,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,19,0,1,0,3,"Nope, it was clear. I hope John's neighbors aren't liars.",2,17,7,12,8,11,13,6
508,10/11/19 8:09,R_2zd3yTeIlBJc5pS,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,no,2,17,7,12,8,11,13,6
273,10/11/19 8:09,R_1li5U9XPlztfk71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
491,10/11/19 8:09,R_3k0oyPUhoifeNn8,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,"No, the survey was clear.",2,17,7,12,8,11,13,6
421,10/11/19 8:09,R_37XkwKygulLMWpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,17,7,12,8,11,13,6
542,10/11/19 8:10,R_blxe7Z9IMfBfuAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, just super repetitive ",2,17,7,12,8,11,13,6
347,10/11/19 8:10,R_3gZrve4zKQ5eFWu,4,5,3,4,1,1,2,3,4,5,3,1,1,1,1,2,5,1,1,1,2,4,5,5,4,1,1,2,2,12,23,1,1,0,2,5,6,4,5,1,0,1,very clear,2,17,7,12,8,11,13,6
542,10/11/19 8:10,R_3qWhuVwBmWCHhEw,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,0,20,0,1,0,3,0,0,20,0,1,0,3,"not really,  I figured it out pretty quickly",2,17,7,12,8,11,13,6
438,10/11/19 8:10,R_3qUrg2jJtDFJCwx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it was clear thank you,2,17,7,12,8,11,13,6
368,10/11/19 8:10,R_sCohlZGy13wShkl,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,No,2,17,7,12,8,11,13,6
571,10/11/19 8:10,R_2rV3ah6mxiagL3J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
448,10/11/19 8:10,R_bqE1dmBIkfOod6V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, all was clear.",2,17,7,12,8,11,13,6
320,10/11/19 8:10,R_2YP4KzCx1cj4XDt,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,0,0,3,0,19,20,0,0,0,3,0,0,20,0,1,0,3,not really,2,17,7,12,8,11,13,6
515,10/11/19 8:10,R_3RwRxpQJzcytgR8,20,10,19,13,1,0,3,20,10,19,13,1,0,3,20,10,19,13,1,0,3,20,10,19,13,1,0,3,20,10,19,13,1,0,3,20,10,19,13,1,0,3,it was a little odd. Why the repetition?,2,17,7,12,8,11,13,6
460,10/11/19 8:10,R_23UzZpw99NlT05A,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,"No, just a lot of repeat questions",2,17,7,12,8,11,13,6
316,10/11/19 8:10,R_25TOWfcNKIuMzub,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,0,0,3,0,0,20,0,1,0,3,no,2,17,7,12,8,11,13,6
557,10/11/19 8:10,R_ac0GVaNCOo7Xaxz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
474,10/11/19 8:10,R_3h60wPmJgaF7VqZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not that I noticed,2,17,7,12,8,11,13,6
592,10/11/19 8:11,R_1E4ixYaEhVb1Zkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
535,10/11/19 8:11,R_ALP1vZuizBrKOlz,19,2,20,2,0,0,2,19,7,29,7,0,0,2,19,8,20,8,0,0,2,19,13,20,13,0,0,2,20,19,20,19,0,0,2,19,0,20,0,0,0,3,No,2,17,7,12,8,11,13,6
247,10/11/19 8:11,R_WD6orHENExf3zYl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
